p	x	y	z	j	rX	rY	rZ
A	1	0	0	1	0	0	0
A	2	0	0	0	0	0	0
A	3	0	0	0	0	0	0
A	4	0	0	0	0	0	0
A	5	0	0	0	0	0	0
A	6	0	0	0	0	0	0
A	7	0	0	0	0	0	0
H	0	0	0	1	-1	0	0
H	0	1	0	0	0	0	0
H	0	2	0	0	0	0	0
H	0	3	0	0	0	0	0
H	0	4	0	0	0	0	0
H	1	4	0	0	0	0	0
H	2	4	0	0	0	0	0
H	-1	4	0	0	0	0	0
H	-2	4	0	0	0	0	0
H	0	-1	0	0	0	0	0
H	0	-2	0	0	0	0	0
H	0	-3	0	0	0	0	0
H	0	-4	0	0	0	0	0
H	1	-4	0	0	0	0	0
H	2	-4	0	0	0	0	0
H	-1	-4	0	0	0	0	0
H	-2	-4	0	0	0	0	0
A	-1	0	0	0	0	0	0
A	-2	0	0	0	0	0	0
A	-3	0	0	0	0	0	0
A	-4	0	0	0	0	0	0
A	-5	0	0	0	0	0	0
C	-6	0	0	1	0.5	0	0
C	-6	1	0	0	0	0	0
C	-6	2	0	0	0	0	0
C	-6	3	0	0	0	0	0
C	-6	-1	0	0	0	0	0
C	-6	-2	0	0	0	0	0
C	-6	-3	0	0	0	0	0
C	-6	0	1	0	0	0	0
C	-6	0	2	0	0	0	0
C	-6	0	3	0	0	0	0
C	-6	0	-1	0	0	0	0
C	-6	0	-2	0	0	0	0
C	-6	0	-3	0	0	0	0
A	-7	0	0	0	0	0	0
D	8	0	0	1	0.05	0	0
D	8	1	0	0	0	0	0
D	8	-1	0	0	0	0	0
D	8	1	1	0	0	0	0
D	8	1	-1	0	0	0	0
D	8	-1	1	0	0	0	0
D	8	-1	-1	0	0	0	0
D	8	0	1	0	0	0	0
D	8	0	-1	0	0	0	0
D	9	0	0	0	0	0	0
